Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided	Other notes	Status (Only for Mark/Kaumadi)
PMC6317205	1	Mark	J Transl Med	RNA-seq	Homo sapiens	Not stated	No	No test	NA	DAVID	No	NA	Not stated	Inference without test, background	No	Low detail	
PMC6317219	2	Mark	J Transl Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6318854	3	Mark	BMC Med Genomics	Methylation array	Homo sapiens	GO	No	No test	NA	PANTHER	No	NA	Not stated	Inference without test, background	No		
PMC6318897	4	Mark	BMC Genomics	RNA-seq	Gymnocypris przewalskii	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background list	Yes		
PMC6322516	5	Mark	Cancer Manag Res	Gene expression array	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6323737	6	Mark	BMC Plant Biol	Gene expression array	Arabidopsis	GO	Yes	Not stated	No	topGO	Yes	No	Not stated	Background list, FDR	Yes		
PMC6323741	7	Mark	BMC Genomics	Metabolomics	Bos taurus	KEGG	No	Fisher	Yes	Mummichog	Yes	No	Yes	No	Yes		
PMC6325784	8	Mark	Respir Res	Gene expression array	Homo sapiens	KEGG	No	Hypergeometric	Yes	GeneAnswers	No	No	Not stated	Background list	Yes		
PMC6325795	9	Mark	BMC Cancer	smRNA-seq	Homo sapiens	KEGG	No	Fisher	No	DIANA-miRPath	Yes	NA	Not stated	Background list	Yes	Low detail	
PMC6325889	10	Mark	J Exp Clin Cancer Res	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	No	NA	No	NA		
PMC6326702	11	Mark	PLoS One	Proteomics	Bos taurus	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	Yes		
PMC6327033	12	Mark	Sci Rep	Metagenomics	Microbial	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6327913	13	Mark	J Pain Res	Proteomics	Rattus norvegicus	GO, KEGG	No	Fisher	Yes	SPSS	No	No	Yes	No	No		
PMC6328174	14	Mark	PLoS One	RNA-seq	Eriocheir sinensis	GO, KEGG	No	Not stated	No	Blast2GO	Yes	No	Yes	No	No		
PMC6328465	15	Mark	Front Oncol	Gene expression array	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6328499	16	Mark	Front Genet	smRNA-seq	Homo sapiens	Metascape	No	Not stated	Not stated	Metascape	No	NA	Not stated	Background list	No	Low detail, authors do not show any data that demonstrates an enrichment (or even if such a test was done)	
PMC6329100	17	Mark	BMC Genomics	RNA-seq	Bos taurus	GO, KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	Yes	Background list	No		
PMC6329100	17	Mark	BMC Genomics	RNA-seq	Bos taurus	KEGG	Yes	Not stated	Yes	WebGestalt	Yes	NA	Yes	Background list	No		
PMC6329125	18	Mark	BMC Med Genomics	RNA-seq	Homo sapiens	GO	No	Not stated	No	Basespace Correlation engine	No	NA	No	Background list, FDR	Yes		
PMC6329125	18	Mark	BMC Med Genomics	RNA-seq	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background list, FDR	Yes		
PMC6329193	19	Mark	BMC Plant Biol	RNA-seq	Gossypium hirsutum	GO, KEGG	No	No test	Not stated	Not stated	NA	NA	No	Background list	Yes	Low detail	
PMC6329348	20	Mark	Int J Nanomedicine	Gene expression array	Oryctolagus cuniculus	Ingenuity Pathway Analysis	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background list	No		
PMC6329705	21	Mark	Biochem Biophys Rep	Targeted expression array	Mus musculus	Ingenuity Pathway Analysis	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background list	No		
PMC6329742	22	Mark	Basic Res Cardiol	RNA-seq	Mus musculus	Panther Pathways, GO	No	Not stated	Not stated	PANTHER	No	NA	No	Background list	No		
PMC6329859	23	Mark	J Cancer	smRNA-seq	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background list	No	Low detail	
PMC6329865	24	Mark	J Cancer	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	No	Background list	No		
PMC6330359	25	Mark	Data Brief	RNA-seq	Rattus norvegicus	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background list	No		
