Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
J Transl Med	RNA-seq	Homo sapiens	Not stated	No	No test	NA	DAVID	No	NA	Not stated	Inference without test, Background	No
J Transl Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
BMC Med Genomics	DNA methylation array	Homo sapiens	GO	No	No test	NA	PANTHER	No	NA	Not stated	Inference without test, Background	No
BMC Genomics	RNA-seq	Gymnocypris przewalskii	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	Yes
Cancer Manag Res	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
BMC Plant Biol	Gene expression array	Arabidopsis	GO	Yes	Not stated	No	topGO	Yes	No	Not stated	Background, FDR	Yes
BMC Genomics	Metabolomics	Bos taurus	KEGG	No	Fisher	Yes	Mummichog	Yes	No	Yes	No	Yes
Respir Res	Gene expression array	Homo sapiens	KEGG	No	Hypergeometric	Yes	GeneAnswers	No	No	Not stated	Background	Yes
BMC Cancer	miRNA-seq	Homo sapiens	KEGG	No	Fisher	No	DIANA-miRPath	Yes	NA	Not stated	Background	Yes
J Exp Clin Cancer Res	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	No	NA	No	NA
PLoS One	Proteomics	Bos taurus	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Sci Rep	Metagenomics	Microbiota	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
J Pain Res	Proteomics	Rattus norvegicus	GO, KEGG	No	Fisher	Yes	SPSS	No	No	Yes	No	No
PLoS One	RNA-seq	Eriocheir sinensis	GO, KEGG	No	Not stated	No	Blast2GO	Yes	No	Yes	No	No
Front Oncol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Front Genet	miRNA-seq	Homo sapiens	Not stated	No	Not stated	Not stated	Metascape	No	NA	Not stated	Background	No
