"Pubmed.Central.ID"	"Article.number"	"Allocated"	"Journal"	"Omics.type"	"Organism"	"Gene.set.library"	"GS.version"	"Statistical.test.used"	"FDR.Correction"	"App.used"	"App.Version"	"Code.availability"	"Background.gene.set"	"Assumptions.violated"	"Gene.lists.provided"	"scores"
"2"	"PMC6317219"	2	"Mark"	"J Transl Med"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"4"	"PMC6318897"	4	"Mark"	"BMC Genomics"	"RNA-seq"	"Gymnocypris przewalskii"	"KEGG"	"No"	"Not stated"	"Yes"	"KOBAS"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"5"	"PMC6322516"	5	"Mark"	"Cancer Manag Res"	"Gene expression array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"6"	"PMC6323737"	6	"Mark"	"BMC Plant Biol"	"Gene expression array"	"Arabidopsis"	"GO"	"Yes"	"Not stated"	"No"	"topGO"	"Yes"	"No"	"Not stated"	"Background, FDR"	"Yes"	-2
"8"	"PMC6325784"	8	"Mark"	"Respir Res"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Hypergeometric"	"Yes"	"GeneAnswers"	"No"	"No"	"Not stated"	"Background"	"Yes"	-2
"9"	"PMC6325795"	9	"Mark"	"BMC Cancer"	"miRNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Fisher"	"No"	"DIANA-miRPath"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-2
"10"	"PMC6325889"	10	"Mark"	"J Exp Clin Cancer Res"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"Yes"	"GSEA"	"Yes"	"No"	NA	"No"	NA	-2
"11"	"PMC6326702"	11	"Mark"	"PLoS One"	"Proteomics"	"Bos taurus"	"Not stated"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-5
"12"	"PMC6327033"	12	"Mark"	"Sci Rep"	"Metagenomics"	"Microbiota"	"KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"13"	"PMC6327913"	13	"Mark"	"J Pain Res"	"Proteomics"	"Rattus norvegicus"	"GO, KEGG"	"No"	"Fisher"	"Yes"	"SPSS"	"No"	"No"	"Yes"	"No"	"No"	-2
"14"	"PMC6328174"	14	"Mark"	"PLoS One"	"RNA-seq"	"Eriocheir sinensis"	"GO, KEGG"	"No"	"Not stated"	"No"	"Blast2GO"	"Yes"	"No"	"Yes"	"No"	"No"	-3
"16"	"PMC6328499"	16	"Mark"	"Front Genet"	"miRNA-seq"	"Homo sapiens"	"Not stated"	"No"	"Not stated"	"Not stated"	"Metascape"	"No"	NA	"Not stated"	"Background"	"No"	-6
"17"	"PMC6329100"	17	"Mark"	"BMC Genomics"	"RNA-seq"	"Bos taurus"	"GO, KEGG"	"Yes"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"Yes"	"Background"	"No"	-1
"18"	"PMC6329100"	17	"Mark"	"BMC Genomics"	"RNA-seq"	"Bos taurus"	"KEGG"	"Yes"	"Not stated"	"Yes"	"WebGestalt"	"Yes"	NA	"Yes"	"Background"	"No"	-1
"19"	"PMC6329125"	18	"Mark"	"BMC Med Genomics"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Basespace Correlation engine"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"20"	"PMC6329125"	18	"Mark"	"BMC Med Genomics"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"21"	"PMC6329193"	19	"Mark"	"BMC Plant Biol"	"RNA-seq"	"Gossypium hirsutum"	"GO, KEGG"	"No"	"No test"	"No test"	"STEM"	NA	NA	"No"	"Background"	"Yes"	-3
"22"	"PMC6329348"	20	"Mark"	"Int J Nanomedicine"	"Gene expression array"	"Oryctolagus cuniculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Not stated"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"No"	-5
"23"	"PMC6329705"	21	"Mark"	"Biochem Biophys Rep"	"Gene expression array"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Not stated"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"No"	-5
"24"	"PMC6329742"	22	"Mark"	"Basic Res Cardiol"	"RNA-seq"	"Mus musculus"	"PANTHER, GO"	"No"	"Not stated"	"Not stated"	"PANTHER"	"No"	NA	"No"	"Background"	"No"	-5
"25"	"PMC6329859"	23	"Mark"	"J Cancer"	"miRNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-6
"26"	"PMC6329865"	24	"Mark"	"J Cancer"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"No"	"Background"	"No"	-5
"27"	"PMC6330359"	25	"Mark"	"Data Brief"	"RNA-seq"	"Rattus norvegicus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"No"	-5
"28"	"PMC6330447"	26	"Mark"	"Skelet Muscle"	"Metabolomics"	"Mus musculus"	"MetaboAnalyst"	"Yes"	"MSEA"	"No"	"MetaboAnalyst"	"Yes"	NA	NA	"No"	"No"	-1
"29"	"PMC6331136"	27	"Mark"	"PLoS Comput Biol"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"No"	"Background"	"No"	-5
"30"	"PMC6331458"	28	"Mark"	"Front Pharmacol"	"Metabolomics"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"No"	-5
"31"	"PMC6331580"	29	"Mark"	"Sci Rep"	"RNA-seq"	"Gossypium hirsutum"	"KEGG"	"No"	"No test"	"No test"	"Blast2GO"	"No"	NA	"No"	"Background"	"No"	-5
