Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
PMC6317205	1	Mark	J Transl Med	RNA-seq	Homo sapiens	Not stated	No	No test	No test	DAVID	No	NA	Not stated	Inference without test, Background	No
PMC6317219	2	Mark	J Transl Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6318854	3	Mark	BMC Med Genomics	DNA methylation array	Homo sapiens	GO	No	No test	No test	PANTHER	Yes	NA	Not stated	Inference without test, Background	No
PMC6318897	4	Mark	BMC Genomics	RNA-seq	Gymnocypris przewalskii	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	Yes
PMC6322516	5	Mark	Cancer Manag Res	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6323737	6	Mark	BMC Plant Biol	Gene expression array	Arabidopsis	GO	Yes	Not stated	No	topGO	Yes	No	Not stated	Background, FDR	Yes
PMC6323741	7	Mark	BMC Genomics	Metabolomics	Bos taurus	KEGG	No	Fisher	Yes	Mummichog	Yes	No	Yes	No	Yes
PMC6325784	8	Mark	Respir Res	Gene expression array	Homo sapiens	KEGG	No	Hypergeometric	Yes	GeneAnswers	No	No	Not stated	Background	Yes
PMC6325795	9	Mark	BMC Cancer	miRNA-seq	Homo sapiens	KEGG	No	Fisher	No	DIANA-miRPath	Yes	NA	Not stated	Background	Yes
PMC6325889	10	Mark	J Exp Clin Cancer Res	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	No	NA	No	NA
PMC6326702	11	Mark	PLoS One	Proteomics	Bos taurus	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6327033	12	Mark	Sci Rep	Metagenomics	Microbiota	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PMC6327913	13	Mark	J Pain Res	Proteomics	Rattus norvegicus	GO, KEGG	No	Fisher	Yes	SPSS	No	No	Yes	No	No
PMC6328174	14	Mark	PLoS One	RNA-seq	Eriocheir sinensis	GO, KEGG	No	Not stated	No	Blast2GO	Yes	No	Yes	No	No
PMC6328465	15	Mark	Front Oncol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6328499	16	Mark	Front Genet	miRNA-seq	Homo sapiens	Not stated	No	Not stated	Not stated	Metascape	No	NA	Not stated	Background	No
PMC6329100	17	Mark	BMC Genomics	RNA-seq	Bos taurus	GO, KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	Yes	Background	No
PMC6329100	17	Mark	BMC Genomics	RNA-seq	Bos taurus	KEGG	Yes	Not stated	Yes	WebGestalt	Yes	NA	Yes	Background	No
PMC6329125	18	Mark	BMC Med Genomics	RNA-seq	Homo sapiens	GO	No	Not stated	No	Basespace Correlation engine	No	NA	No	Background, FDR	Yes
PMC6329125	18	Mark	BMC Med Genomics	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6329193	19	Mark	BMC Plant Biol	RNA-seq	Gossypium hirsutum	GO, KEGG	No	No test	No test	STEM	NA	NA	No	Background	Yes
PMC6329348	20	Mark	Int J Nanomedicine	Gene expression array	Oryctolagus cuniculus	Ingenuity Knowledge Base	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background	No
PMC6329705	21	Mark	Biochem Biophys Rep	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background	No
PMC6329742	22	Mark	Basic Res Cardiol	RNA-seq	Mus musculus	PANTHER, GO	No	Not stated	Not stated	PANTHER	No	NA	No	Background	No
PMC6329859	23	Mark	J Cancer	miRNA-seq	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background	No
PMC6329865	24	Mark	J Cancer	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	No	Background	No
PMC6330359	25	Mark	Data Brief	RNA-seq	Rattus norvegicus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
PMC6330447	26	Mark	Skelet Muscle	Metabolomics	Mus musculus	MetaboAnalyst	Yes	MSEA	No	MetaboAnalyst	Yes	NA	NA	No	No
PMC6331136	27	Mark	PLoS Comput Biol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	No
PMC6331458	28	Mark	Front Pharmacol	Metabolomics	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
PMC6331580	29	Mark	Sci Rep	RNA-seq	Gossypium hirsutum	KEGG	No	No test	No test	Blast2GO	No	NA	No	Background	No
PMC6332625	30	Mark	Stem Cell Res Ther	Gene expression array, DNA methylation array	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
PMC6332685	31	Mark	J Transl Med	Gene expression array	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
PMC6333352	32	Mark	PLoS One	Gene expression array	Homo sapiens	KEGG	Yes	Not stated	Yes	DAVID	Yes	No	Not stated	Background	Yes
PMC6333644	33	Mark	Front Microbiol	Metabolomics	Pleurotus tuoliensis	KEGG	No	Fisher	No	KEGG mapper	No	NA	No	Background	No
PMC6333785	34	Mark	Sci Rep	PPI	Triticum aestivum	KEGG	No	Hypergeometric	Yes	Custom R script	No	No	No	Background	No
PMC6333820	35	Mark	Sci Rep	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	ToppGene	No	No	No	Background	No
PMC6333820	35	Mark	Sci Rep	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	No	NA	No	No
PMC6335938	36	Mark	Balkan Med J	RNA-seq	Homo sapiens	GO	No	No test	No test	PANTHER	No	No	No	Inference without test, Background	No
PMC6335938	36	Mark	Balkan Med J	RNA-seq	Homo sapiens	MSigDB	No	Not stated	Not stated	GSEA web app	No	No	No	Background	No
PMC6336353	37	Mark	PLoS Pathog	miRNA-seq	Homo sapiens	Reactome, PANTHER, NDeX, KEGG, BioCarta	Yes	Not stated	Not stated	Not stated	NA	No	No	Background	No
PMC6336601	38	Mark	Medicine (Baltimore)	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	No	No	Background	Yes
PMC6336703	39	Mark	Front Genet	DNA methylation sequencing	Danio rerio	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
